"","AbsoluteCS","Acceleration.forward","Acceleration.side","Acceleration.up","Rotation.roll","Rotation.pitch","Rotation.yaw","imuRotation.pitch","imuRotation.roll","imuRotation.yaw","RawPlayerLoad","SmoothedPlayerLoad"
"341",167277493948,-0.746328,-0.994136,0.134068,-13.298,-28.243,13.908,-2.3882675,5.670962,33.616558,0.056640625,0.9834354
"342",167277493949,-0.780208,-0.928312,0.138424,-18.91,-29.463001,23.607,5.9224873,7.2330194,41.17711,0.05859375,0.9509727
"343",167277493950,-0.781176,-0.881364,0.075987995,-24.217001,-30.683,27.755001,10.033195,6.134551,46.475285,0.06298828,0.91835403
"344",167277493951,-0.73326,-0.814088,0.102607995,-28.914,-34.526,32.391,12.767872,6.6842823,53.568123,0.063964844,0.8856333
"345",167277493952,-0.68873197,-0.796664,0.13019599,-32.086,-38.308,35.624,14.011311,7.6504173,59.2557,0.052246094,0.8528993
"346",167277493953,-0.73083997,-0.758428,0.165044,-35.319,-39.345,40.199,17.819824,8.6189785,63.40022,0.045410156,0.8202946
"347",167277493954,-0.67517996,-0.72551596,0.208604,-37.759,-40.321,41.968002,19.287067,8.5723915,66.08601,0.055664062,0.787944
"348",167277493955,-0.676148,-0.703736,0.2541,-40.87,-43.493,47.641,22.443333,11.071785,72.14829,0.049804688,0.755958
"349",167277493956,-0.645656,-0.785532,0.255552,-43.615,-43.31,45.323,21.676601,8.058306,72.78317,0.041503906,0.7244653
"350",167277493957,-0.645172,-0.763268,0.29766,-46.238,-45.323,50.935,25.311165,10.597473,77.67587,0.032714844,0.6936013
"351",167277493958,-0.64662397,-0.82376796,0.288948,-48.617,-47.702,56.669003,28.720467,13.598089,82.70851,0.03466797,0.6634513
"352",167277493959,-0.630652,-0.830544,0.265716,-50.813,-48.556,67.283,36.45701,19.36927,88.10429,0.021972656,0.6340747
"353",167277493960,-0.583704,-0.816992,0.26861998,-54.046,-51.118,75.518,41.645325,23.716635,94.55252,0.029785156,0.60553867
"354",167277493961,-0.681956,-0.828124,0.24587199,-56.852,-51.728,85.644,49.0149,29.380867,99.88561,0.040527344,0.5778847
"355",167277493962,-0.67276,-0.825704,0.223124,-59.902,-51.789,95.282,56.289803,34.75127,104.751236,0.021484375,0.55114603
"356",167277493963,-0.652916,-0.821348,0.187308,-62.037003,-52.948,101.382,59.928493,39.169125,108.64967,0.02734375,0.5254087
"357",167277493964,-0.620488,-0.852808,0.181016,-62.159,-52.46,105.469,62.425697,43.197033,109.43744,0.028808594,0.5007293
"358",167277493965,-0.618068,-0.834416,0.188276,-61.732002,-54.29,113.765,65.93399,51.301113,112.79018,0.0107421875,0.477128
"359",167277493966,-0.58322,-0.81844395,0.19844,-61.793,-58.682,122.061005,67.61696,60.090866,118.22808,0.024414062,0.45464733
"360",167277493967,-0.682924,-0.772464,0.20521599,-61.976,-58.865,128.283,70.02191,66.4699,120.17209,0.05078125,0.43332803
